title,author,isbn
All Creatures Great and Small,James Herriot,9780312965785
Graceling,Kristin Cashore,9999999999999
The Complete Works,William Shakespeare,9780517053614
The Thirteenth Tale,Diane Setterfield (Goodreads Author),9780743298025
Foundation,Isaac Asimov,9780553803716
Norwegian Wood,"Haruki Murakami, Jay Rubin (Translator)",9780375704024
The Things They Carried,Tim O'Brien,9780767902892
The Cider House Rules,John Irving (Goodreads Author),9780786226740
The Time Machine,"H.G. Wells, Greg Bear (Introduction), Carlo Pagetti (Foreword)",9999999999999
Different Seasons,Stephen King (Goodreads Author),9780751514629
Kafka on the Shore,"Haruki Murakami, Philip Gabriel (Translator)",9781400079278
Heidi,"Johanna Spyri, Beverly Cleary (Foreword), Angelo Rinaldi (Illustrator)",9780753454947
"Are You There God? It's Me, Margaret",Judy Blume (Goodreads Author),9780689841583
City of Lost Souls,Cassandra Clare (Goodreads Author),9781442416864
Sophie's World,"Jostein Gaarder, Paulette Møller (Translator)",9781857993288
Walden,Henry David Thoreau,9999999999999
The Wise Man's Fear,Patrick Rothfuss (Goodreads Author),9780756404734
زندگی مه آلود پریا,سید مرتضی مصطفوی (Goodreads Author),9786007072714
The Awakening,Kate Chopin,9780543898081
Fangirl,Rainbow Rowell (Goodreads Author),B00BMKH5NW
Sophie's Choice,William Styron,9780679736370
The Prince of Tides,Pat Conroy,9780553381542
Never Let Me Go,Kazuo Ishiguro,9781400078776
The Son of Neptune,Rick Riordan (Goodreads Author),9781423140597
Dead Until Dark,Charlaine Harris (Goodreads Author),9780441008537
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,9780375508417
Fifty Shades Darker,E.L. James (Goodreads Author),9781612130583
Ready Player One,Ernest Cline (Goodreads Author),9780307887436
Middlemarch,"George Eliot, Michel Faber (Introduction)",9780451529176
The Monster at the End of this Book,"Jon Stone, Michael J. Smollin (Illustrator)",9780375829130
A Court of Mist and Fury,Sarah J. Maas (Goodreads Author),B015FELXQ0
Things Fall Apart,Chinua Achebe,9999999999999
Bridget Jones's Diary,"Helen Fielding (Goodreads Author), Хелен Филдинг",9780140280098
Mrs. Dalloway,"Virginia Woolf, Maureen Howard (Foreword)",9780151009985
Mockingjay,Suzanne Collins,9780439023511
Franny and Zooey,J.D. Salinger,9780316769020
The Power of One,Bryce Courtenay,9780345410054
The Magician's Nephew,C.S. Lewis,9780060764906
Stardust,Neil Gaiman (Goodreads Author),9780061142024
A Time to Kill,John Grisham (Goodreads Author),9999999999999
The Gunslinger,Stephen King (Goodreads Author),9999999999999
Number the Stars,Lois Lowry (Goodreads Author),9780440227533
Do Androids Dream of Electric Sheep?,Philip K. Dick,B000SEGTI0
Allegiant,Veronica Roth (Goodreads Author),9780007524273
Eleanor & Park,Rainbow Rowell (Goodreads Author),9781250012579
A Short History of Nearly Everything,Bill Bryson,9780767908184
The Lord of the Rings,J.R.R. Tolkien,9999999999999
Me Before You,Jojo Moyes (Goodreads Author),9780143124542
The Mark of Athena,Rick Riordan (Goodreads Author),9781423140603
The Art of Racing in the Rain,Garth Stein (Goodreads Author),9781554681723
The Way of Kings,Brandon Sanderson (Goodreads Author),9780765326355
If I Stay,Gayle Forman (Goodreads Author),9780525421030
Black Beauty,Anna Sewell,9780439228909
Legend,Marie Lu (Goodreads Author),9999999999999
The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry (Afterword)",9999999999999
A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane (Editor), Jim Norton (Translation), Hans Walter Gabler, Jeri Johnson (Editor), J.M. Gaffney (Editor), Ludmila Savitzky (Translator)",9780142437346
Gulliver's Travels,"Jonathan Swift, Robert DeMaria Jr. (Editor)",9780141439495
Bel Canto,Ann Patchett,9780060838720
American Psycho,Bret Easton Ellis,9780679735779
V for Vendetta,"Alan Moore (Goodreads Author), David Lloyd (Illustrator)",9781401207922
Love You Forever,"Robert Munsch, Sheila McGraw (Illustrator)",9780920668375
The Witches,"Roald Dahl, Quentin Blake (Illustrator)",9780590032490
القرآن الكريم,Anonymous,9999999999999
The Graveyard Book,"Neil Gaiman (Goodreads Author), Dave McKean (Illustrator)",9780060530921
The Complete Novels,Jane Austen,9780140259445
Fifty Shades Freed,E.L. James (Goodreads Author),9780345803504
Cold Mountain,Charles Frazier,9780802142849
White Fang,"Jack London, مها محمود صالح (Goodreads Author) (Translator)",9780439236195
Wonder,R.J. Palacio,9999999999999
Beowulf,"Unknown, Seamus Heaney (Translator)",9780393320978
Tuck Everlasting,Natalie Babbitt,9780374480097
The Final Empire,Brandon Sanderson (Goodreads Author),9780765311788
Beautiful Creatures,"Kami Garcia (Goodreads Author), Margaret Stohl (Goodreads Author)",9780316042673
Steppenwolf,"Hermann Hesse, Basil Creighton (translator)",9780140282580
Eldest,Christopher Paolini (Goodreads Author),9780375840401
Dark Lover,J.R. Ward (Goodreads Author),9780451216953
Go Ask Alice,"Beatrice Sparks (as ""Anonymous""), Anonymous",9781416914631
انتحار فاشل,أحمد جمال الدين رمضان,9789778100079
The Eye of the World,Robert Jordan,9780812511819
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,9780553212280
As I Lay Dying,William Faulkner,9780679732259
A Separate Peace,"John Knowles, David Levithan (Goodreads Author) (Afterword)",9780743253970
The Complete Maus,Art Spiegelman,9780141014081
Mansfield Park,"Jane Austen, Kathryn Sutherland (Editor)",9780141439808
The Amazing Adventures of Kavalier & Clay,Michael Chabon,9780312282998
Brisingr,Christopher Paolini (Goodreads Author),9780375826726
العصبي,أحمد جمال الدين رمضان,9789778100082
"A Child Called ""It""",Dave Pelzer (Goodreads Author),9781558743663
Stargirl,Jerry Spinelli,9780439488402
Tao Te Ching,"Lao Tzu, Gia-Fu Feng (Translation), Jane English (Translation), Toinette Lippe (Goodreads Author) (Translation), Jacob Needleman (Translation)",9780679724346
Dear John,Nicholas Sparks (Goodreads Author),9780446528054
Midnight's Children,Salman Rushdie,9780099578512
Obsidian,Jennifer L. Armentrout (Goodreads Author),9999999999999
'Salem's Lot,Stephen King (Goodreads Author),9780450031069
The Martian Chronicles,Ray Bradbury,9780553278224
Crescendo,Becca Fitzpatrick (Goodreads Author),9781416989431
The English Patient,Michael Ondaatje,9780771068713
East of Eden,John Steinbeck,9780142000656
